country,date,statement
Malaysia,2007-02-26,"At its meeting today. Bank Negara Malaysia's Monetary Policy Committee (MPC) decided to leave the Overnight Policy Rate (OPR) unchanged at 3.50 percent. The current level of the OPR is consistent with the medium term outlook for growth and inflation. Global and regional growth is expected to remain favourable in 2007. The Malaysian economy is expected to experience sustained growth, with stronger growth estimated for the second-half of the year. The growth would be mainly private sector driven, with the public sector having a strong supportive role. The expansion is expected to be more broad-based across all economic sectors. The outlook on inflation is relatively benign with average inflation expected to be significantly lower than in 2006. In addition, the lower international oil prices and moderating inflation in our trade partner economies are also expected to contribute to an environment of more stable domestic consumer prices. Bank Negara Malaysia 26 February 2007."
Poland,2007-02-28,"Monetary Policy Council Warsaw, 28 February 2007 INFORMATION FROM THE MEETING OF THE MONETARY POLICY COUNCIL held on 27-28 February 2007 The Council decided to keep the NBP interest rates unchanged, i.e.: reference rate 4.00% on an annual basis; lombard rate 5.50% on an annual basis; deposit rate 2.50% on an annual basis; rediscount rate 4.25% on an annual basis. Since the Council's meeting in January 2007 the inflation forecasts for 2007 have remained unchanged for the euro area, while the outlook for the United States have been slightly lowered. Similarly, the forecast of economic growth in 2007 in the euro area has stayed unchanged, while the forecast for the United States has been raised. In January the annual inflation in the euro area remained unchanged (at 1.9%), but it fell in the United States (from 2.5% y/y in December 2006 to 2.1%). Since the January meeting of the Council, current price of crude oil has risen by USD 2.9 (i.e. 5.3%), while the prices of this commodity forecast for 2007-2008 have edged down. GUS (CSO) data for January 2007 on industrial output, construction and assembly production and retail sales point to the continuation of strong economic activity. The rise in industrial output in January 2007 was markedly above the expectations of NBP analysts and external forecasters reaching 15.6% y/y (compared to 5.9% y/y in December), which in seasonally adjusted terms represents 15.5% y/y (compared to 10.5% in December). Also the surge in construction and assembly output proved considerably higher than expected, reaching 60.8% y/y (against 17.9% y/y in December), which in seasonally adjusted terms corresponds to 30.1% y/y (compared to 15.5% in December). This strong increase in the annual growth of construction and assembly output was supported by exceptionally favourable weather conditions in contrast to particularly adverse conditions a year before. January also brought an increase in retail sales growth (to 16.5% y/y in nominal terms, as compared with 13.3% y/y in December). Since the middle of 2005 growth in consumer loans has been running high (a rise of 22.5% y/y in January). The growth rate of housing loans is still increasing (to 58.3% y/y in January). The significant growth in loans to enterprises has also been sustained (at 13.3% y/y in January). The currently observed growth in corporate lending, combined with substantial own funds of enterprises resulting from their very good financial results in 2006, may indicate that the currently high investment growth will be sustained. Strong economic growth is accompanied by dynamically growing demand for labour. According to the BAEL (LFS), in 2006 Q4 the number of working persons rose by 3.6% y/y (compared to 3.9% in Q3), while the rate of unemployment slid to 12.2% (compared to 16.7% a year before). The rapid growth in the number of working persons and the concurrent decline in unemployment were accompanied by a dropping number of the economically active (a slide of 1.7% y/y in Q4), a trend noticeable since 2006 Q1. In January the employment in enterprises grew ul. Świętokrzyska 11/21, 00-919 Warszawa. Poland, phone (48 22) 826 99 55, fax (48 22) 826 37 51, by 3.8% y/y (compared to 4.1% y/y in December), while the unemployment rate according to labour offices' data amounted to 15.1% (compared to 18.0% one year before). Economic growth is also accompanied by a fast growth of wages. In 2006 Q4 the wages in the economy rose by 5.3% y/y in nominal terms (against a rise of 5.0% y/y in Q3). In January the growth in nominal wages in enterprises amounted to 7.8% y/y as compared to 8.5% y/y in December. The annual growth of wages in January was affected by shifts in one-off components of wages in some sections. According to the NBP's estimates, adjusting for the impact of these shifts, the rise in wages in January equalled 6.5% y/y compared to 6.2% y/y in December. The data on wages and number of persons working in the economy in 2006 Q4, in combination with the GDP growth as implied by the preliminary GUS data, indicate that Q4 saw a decline in the growth of unit labour cost in the economy (from 3.0% y/y in Q3, down to 2.4% y/y). In industrial enterprises, productivity is still growing faster than wages, which leads to a drop in unit labour costs in this sector (of 3.2% y/y in January). Strong economic growth which would not pose a threat to the achievement of the inflation target can only be sustained on the condition that the growth in wages does not outpace the growth in labour productivity. This requires strong and productivity-oriented corporate governance in enterprises, which is usually more easily attained in the conditions of private ownership. This also calls for wage discipline in the public sector. In January the annual growth of consumer prices increased to 1.7% (from 1.4% in December). In February the inflation expectations of households stood at 1.4% y/y (compared to 1.5% in January). In January the annual growth of producer prices in industry reached 2.9% compared to 2.6% in December (which represented a rise of 0.5% m/m against a drop of 0.5% m/m in December), while in manufacturing it was 2.1% (versus 1.5% in December). In January the nominal effective exchange rate of the zloty remained stable and was close to that recorded one year before. In the Council's assessment, in the short term CPI inflation will be considerably lower than in the January projection. The core “net” inflation may also prove markedly lower than in the projection. In the medium term the growth of wages may gradually increase, leading to higher inflation. The Council believes that this increase in inflation will be probably moderate provided that the strong productivity growth and low growth of external prices are sustained, the latter being associated with globalisation and the ensuing increased competition in the market of internationally traded goods and services. The Council judged that the current level of NBP interest rates makes it possible for inflation to be kept close to the target of 2.5% in the medium term. However, maintaining inflation close to target and thus creating conditions for sustainable long-term economic growth may require monetary policy tightening. Future decisions of the Council will depend, to a large extent, on whether rising economic activity proves more permanent. It will also depend on other economic developments in Poland and in the world and also on their impact on the inflation outlook in Poland. In the opinion of the Council, the currently observed strong economic growth creates convenient conditions for the implementation of reforms which would permanently reduce the public finance imbalance. The Council maintains its belief that it would be the most favourable for Poland to adopt an economic strategy focused on creating conditions that would guarantee the introduction of the euro at the earliest possible date. The constraining of public finance imbalance would be conducive, both per se and by creating conditions for the introduction of the euro, to accelerating the long-term economic growth. The next meeting of the Council will be held on 27-28 March 2007."
Thailand,2007-02-28,"No 10 /2007 Monetary Policy Committee's Decision on 28 February 2007 Ms. Suchada Kirakul. Assistant Governor of the Monetary Policy Group. Bank of Thailand, announces that the Monetary Policy Committee (MPC) met today to assess the latest economic developments and trends in order to determine the appropriate monetary policy stance. The main issues discussed were as follows. Economic indicators in 2006 Q4 and January 2007 pointed towards a slowdown in domestic demand from the previous meeting, particularly in private consumption and investment. Economic momentum from exports was expected to moderate, given the prospects of the global economy in 2007. However inflationary pressures were expected to be on a downward trend and core inflation should remain within the target range. The MPC viewed that the risks to inflationary pressures were low and monetary policy could be eased in support of a further expansion of the economy. The MPC thus decided to lower the 1-day repurchase rate from 475 per cent per annum to 450 per cent per annum, effective today."
Philippines,2007-03-07,"At its meeting today, the Monetary Board decided to maintain the BSP's key policy interest rates at 7.5 percent for the overnight borrowing or reverse repurchase (RRP) rate and 9.75 percent for the overnight lending or repurchase (RP) rate. The tiering system on bank placements with the BSP was also kept in place. The Monetary Board noted that the continued moderation in both headline and core inflation would support monetary easing. Reduced supply-side pressures (e.g., the dropping out in February of the base effects of RVAT on the CPI, the continued strengthening of the peso) and continued moderate improvements in demand conditions, are behind the abatement of underlying price pressures. Latest BSP forecasts suggest benign inflation for the rest of the year. On balance, however, the Monetary Board believes there continue to be important reasons to maintain the current monetary policy settings. Growth in domestic liquidity has strengthened further in recent months, and may persist given the prospect for sustained strong foreign exchange inflows. The strong growth in domestic liquidity has not triggered a rise in inflationary pressures, in part due to the growing absorptive capacity of the economy. Recent evidence indicates that bank lending has started to increase with the implementation of the tiering scheme."
Euroarea,2007-03-08,"Ladies and gentlemen, the Vice-President and I are very pleased to welcome you to today's press conference. Let me report on the outcome of our meeting, which was also attended by Mr Steinbrück. President of the ECOFIN Council, and Commissioner Almunia. At today's meeting, we decided to raise the key ECB interest rates by 25 basis points. This decision was taken in view of the upside risks to price stability over the medium term that we have identified through both our economic and monetary analyses. Today's decision will contribute to ensuring that medium to longer-term inflation expectations in the euro area remain solidly anchored at levels consistent with price stability. Such anchoring is a prerequisite for monetary policy to make an ongoing contribution towards fostering sustainable economic growth and job creation in the euro area. After today's increase, given the favourable economic environment, our monetary policy continues to be on the accommodative side, with the key ECB interest rates moderate, money and credit growth vigorous, and liquidity in the euro area ample by all plausible measures. Therefore, looking ahead, acting in a firm and timely manner to ensure price stability in the medium term is warranted. The Governing Council will monitor very closely all developments so that risks to price stability over the medium term do not materialise. Turning first to the economic analysis, according to Eurostat's first estimate, the quarter-on-quarter growth rate of real GDP in the euro area for the fourth quarter of 2006 was 0.9%, which was above previous expectations. Our current assessment is that the quarterly profile of real GDP growth is likely to be somewhat smoother in response to the impact of indirect tax changes in one large euro area country than had originally been anticipated. The strength of real GDP growth in the fourth quarter is thus indicative of ongoing robust growth in the euro area. Both domestic demand and exports made significant contributions to real GDP growth, confirming the sustained and broad-based nature of the current expansion. The information on economic activity from various confidence surveys and indicator-based estimates supports the assessment that robust economic growth has continued into 2007. Looking ahead, the medium-term outlook for economic activity remains favourable. The conditions are in place for the euro area economy to grow solidly. As regards the external environment, global economic growth has become more balanced across regions and, while moderating somewhat, remains robust, supported in part by lower oil prices. External conditions thus provide support for euro area exports. Domestic demand in the euro area is also expected to maintain its relatively strong momentum. Investment should remain dynamic, benefiting from an extended period of very favourable financing conditions, balance sheet restructuring, accumulated and ongoing strong corporate earnings, and gains in business efficiency. Consumption should also strengthen further over time, in line with developments in real disposable income, as employment conditions continue to improve. This outlook is also reflected in the new ECB staff macroeconomic projections. The projections foresee average annual real GDP growth in a range between 2.1% and 2.9% in 2007 and between 1.9% and 2.9% in 2008. In comparison with the December Eurosystem staff projections, the ranges projected for real GDP growth in 2007 and 2008 have been revised upwards, largely reflecting the strength of GDP growth in the second half of 2006 and the lower energy prices, which, if sustained, would have a positive impact on real disposable income. In the Governing Council's view, the risks surrounding this favourable outlook for economic growth are broadly balanced over the shorter term. The main risks relate to the possibility of a renewed increase in oil prices, fears of a rise in protectionist pressures and concerns about possible disorderly developments owing to global imbalances. As regards price developments, according to Eurostat's flash estimate, annual HICP inflation was 1.8% in February 2007, unchanged from January 2007. The fall in headline inflation rates since the summer of 2006 has been predominantly due to lower energy prices. Looking ahead, last year's volatility in energy prices will lead to significant base effects, affecting the profile of annual inflation rates this year. On the basis of the current level of oil prices and oil price futures, annual inflation rates are likely to fall during the spring and summer before rising again towards the end of the year and then most likely hovering again at around 2%. The new ECB staff macroeconomic projections foresee annual HICP inflation averaging between 1.5% and 2.1% in 2007 and between 1.4% and 2.6% in 2008. Compared with the December 2006 Eurosystem staff projections, the upper bound of the range projected for inflation in 2007 is somewhat lower, largely reflecting the fall in oil prices. By contrast, the projected range for inflation in 2008 is slightly higher, largely on account of the anticipated stronger economic growth, which could exert more intense pressure on factor utilisation and factor costs. In this context, let me remind you of the conditional nature of these projections, which are based on a series of technical assumptions, including market expectations for future short and long-term interest rates as well as for oil and non-energy commodity prices. At the policy-relevant medium-term horizon, the outlook for price developments remains, in the Governing Council's view, subject to upside risks. These relate to the possibility of renewed oil price increases and additional increases in administered prices and indirect taxes beyond those announced and decided thus far. More fundamentally, stronger than currently expected wage developments would pose significant upward risks to price stability, not least in view of the favourable momentum of real GDP growth observed over the past few quarters. It is therefore crucial that the social partners continue to meet their responsibilities. In this context, wage agreements should take into account price competitiveness positions, the still high level of unemployment in many economies, as well as productivity developments. The Governing Council will monitor the upcoming wage negotiations in the euro area countries very carefully. The monetary analysis confirms the prevailing upside risks to price stability at medium to longer horizons. Annual M3 growth was unchanged at 9.8% in January, thus remaining at the highest rate observed since the introduction of the euro. At 10.6%, the annual growth rate of loans to the private sector also remained strong in January. Strong growth in private sector credit reflects the continuation of the upward trend in the growth of borrowing by non-financial corporations seen since mid-2004. Meanwhile, in the context of rising mortgage rates throughout the euro area and a slowing increase in house prices in some regions, the growth of household borrowing has shown some further signs of moderation in recent months, albeit remaining at still high rates. Taking the appropriate medium to longer-term perspective for assessing trends in money and credit growth, the latest developments confirm the continuation of a persistent upward trend in the underlying rate of monetary expansion. Following several years of robust monetary growth, the liquidity situation in the euro area is ample by all plausible measures. The robust expansion of money and credit reflects the accommodative monetary policy stance over a prolonged period of time and the strengthening of economic activity in the euro area. In an environment of ample liquidity, it points to upside risks to price stability over the medium to longer term. Monetary developments therefore continue to require very careful monitoring, particularly against the background of a solid expansion in economic activity and continued strong property market developments in many parts of the euro area. To sum up, in assessing price trends it is important to look through any short-term volatility in inflation rates. Risks to the medium-term outlook for price stability remain on the upside, relating in particular to stronger than currently expected wage developments in a context of robust ongoing growth in employment and economic activity. Given the vigorous monetary and credit growth in an environment of already ample liquidity, a cross-check of the outcome of the economic analysis with that of the monetary analysis supports the assessment that upside risks to price stability prevail over the medium to longer term. The Governing Council will continue to monitor very closely all developments so that risks to price stability over the medium term do not materialise. This will support the solid anchoring of medium to longer-term inflation expectations in the euro area at levels consistent with price stability. Therefore, looking ahead, acting in a firm and timely manner to ensure price stability in the medium term remains warranted. As regards fiscal policy, there is growing confirmation that the favourable cyclical developments led to better than expected budgetary outcomes in 2006 in a number of countries and in the euro area as a whole. However, updated stability programmes foresee only moderate progress with fiscal consolidation in the coming years. In this respect, some countries' consolidation targets appear not fully in line with the requirements of the revised Stability and Growth Pact. Risks stem in particular from a lack of well-specified and credible measures, notably on the expenditure side of budgets. Given the favourable economic environment, the Governing Council considers it essential that pro-cyclical policies are avoided in all euro area countries and that sufficiently ambitious fiscal consolidation efforts are made in the countries with remaining budgetary imbalances and/or high public debt outstanding. The opportunity should be seized to attain sound public finances within the programme horizons and by 2010 at the latest in all euro area countries. Fiscal consolidation that is part of a medium-term-oriented, credible and expenditure-based reform strategy would support longer-term output and employment growth and help prepare for the fiscal impact of population ageing. As regards structural reforms, the European Council will discuss the current state of, and future progress in, the implementation of the Lisbon strategy at its meeting which starts today. It is positive to see that reforms and moderate increases in labour costs have helped to bring about higher employment and lower unemployment in recent years, although progress has been uneven across EU Member States. We encourage action to create incentives and structures which support the integration of all groups into the labour market, including those for which employment rates have been relatively low in the past. Reforms of tax and benefit systems should enhance incentives to work and to create jobs. Reducing labour taxes (including social security contributions) and thereby labour costs would support employment, while setting minimum wages at a level not in line with productivity reduces the employment chances of less skilled workers. We fully support policies to improve education and the adoption of technological innovations in order to raise productivity growth. Coupled with initiatives to create a business-friendly environment, such policies would broaden the opportunities of all to participate in an enhanced growth process."
South Korea,2007-03-08,"The Bank of Korea Monetary Policy Decision The Monetary Policy Committee of the Bank of Korea decided today to maintain the call rate target (uncollateralized overnight rate) at its current level (4.50%) for the intermeeting period. (The following is an English translation of the Monetary Policy Committee statement). In the real economy, exports continue to show steady growth, facilities and construction investment maintains a robust growing pace. On the other hand, private consumption exhibits a slowdown in the pace of its expansion. Meanwhile, the current account has recorded a deficit, owing mainly to the narrowed goods account surplus. Consumer price inflation and core inflation both remain stable. The upward pace of real estate prices has slowed down. In the financial markets, financial institutions' lending has slowed the pace of its expansion. Nevertheless, overall liquidity conditions are favorable. Taking the above economic and financial conditions into consideration, the Monetary Policy Committee of the Bank of Korea decided today to maintain the call rate target (uncollateralized overnight rate) at its current level (4.50%) for the intermeeting period."
Chile,2007-03-15,"Central Bank of Chile Santiago, 15 March 2007 Press Release* In its monthly monetary policy meeting, the Board of the Central Bank of Chile decided to maintain the monetary policy interest rate at 5% (annual). The external scenario relevant to the Chilean economy remains favorable, despite increased volatility and price adjustments observed in various assets in international financial markets. The latter has had mild consequences in the domestic financial market. Global growth continues to be strong, the copper price has strengthened reaching levels above estimates in the latest Monetary Policy Report's baseline scenario, and the oil price is somewhat above earlier projections. Information available is consistent with a gradual increase in internal output dynamism, in line with forecast in the last Report. Recently announced government measures support this scenario. Salaried employment continues to grow, although somewhat less intensely than in the past few months. Internal financial conditions look more favorable than they have in recent months. Beyond changes in the price level as a result of the implementation of Plan Transantiago, annual measures for CPI and CPIX (that excludes fuels and perishables) are evolving as forecast in the last Report. Meanwhile, annual CPIX1 inflation (which also excludes some regulated utilities and other goods), which has been above projections, has moderated over the last month. Alternative measures of trend inflation have shown mixed paths. Although labor costs are still contained and long-term inflation expectations remain anchored around 3%, some wage indicators show increased growth. The Board reaffirms its commitment of conducting monetary policy to ensure that projected inflation will be at 3% over the policy horizon. This implies that, in case inflationary risks decline and the baseline scenario in the last Monetary Policy Report consolidates, a somewhat stronger monetary impulse might be required. * The Spanish original prevails."
Peru,2007-03-15,"BANCO CENTRAL DE RESERVA DEL PERU MONETARY PROGRAM FOR MARCH 2007 BCRP MAINTAINS REFERENCE RATE AT 4.50% The Board of the Central Bank approved to maintain the reference interest rate for the interbank market at 4.50 percent, considering that no inflationary pressures are expected in the short term and that the factors that have driven the inflation rate below the target range are transitory. These include the lower prices of public utilities and some food products. The Consumer Price Index of Metropolitan Lima (CPI) increased 0.26 percent in February, as a result of which the last-12-month CPI inflation rate fell from 0.64 percent in January to 0.36 percent in February. On the other hand, the rate of core inflation indicator of the trend of price increases was 0.26 percent, accumulating a last-12-month rate of 1.49 percent. The last-12-month inflation rate should remain below the lower band of the inflation target (1.0 percent) in the first part of 2007 due to the reversal of the price rises of some food products observed in the first months of 2006, in line with the forecasts outlined in the Inflation Report of January 2007. The above-mentioned factors have a one-time impact on inflation and therefore require no particular monetary policy measures to address them. This evolution of prices has taken place amid a context marked by a strongly dynamic performance of economic activity, which posted the highest level of growth (0.8 percent) observed in the last 11 years in 2006. This evolution is explained by the expansion of the productive capacity as a result of higher investment and productivity, the appreciation of the nuevo sol, low expectations of inflation, and increased competition reflected in lower margins. The macroeconomic prospects and the balance of risks described in our Inflation Report of January 2007 prevail. Thus, based on the expected pace of growth of economic activity, inflation expectations in line with the inflation target, and a moderate evolution of imported inflation, inflation is expected to converge to a rate of 2 percent. In contrast with the 2003-2005 period, the prices of food products and fuels are not expected to generate an upward trend of inflation in the forecast horizon, as normal conditions of supply are forecast in the agricultural sector and relatively moderate prices rises are expected in the international price of fuels. This upward trend in the forecast growth of economic activity for 2007 (6.8 percent) is being confirmed by the first indicators of demand this year, although no signals of inflation are observed yet. In this context, the Central BANCO CENTRAL DE RESERVA DEL PERU Bank stands ready to prevent that an increase in domestic spending might be translated into inflationary pressures. The average monthly interbank reference rate was 4.48 in February. The short-term rates are relatively stable, while the long-term rates for operations in domestic currency continue to show a downward trend. Thus, the 90-day corporate prime rate in soles in February was 5.20 percent, a level that was 1 basis point higher than the one posted in January, while the yield on the 20-year sovereign bond in soles decreased at the close of month was 6.40 percent, decreasing 36 bps. with respect to end January. Emerging markets exhibited a higher volatility in the last week of February which involved portfolio adjustments in terms of the assets of these economies (currency, sovereign bonds, etc.). In this context, the country risk indicator was 136 bps. at the close of February, which represented an increase of 5 bps. relative to the previous month. In February, the nuevo sol appreciated 0.1 percent in nominal terms and closed at 3.191 per dollar at the end of the month. During the session, the Board of Directors approved the following annual interest rates for active and passive operations between the BCRP and the financial system: Direct temporary purchases of securities and rediscount operations: 5.25 percent. Overnight deposits: 3.75 percent. Likewise, the Board of Directors approved the following annual interest rates for operations in dollars between the BCRP and the financial system: Rediscount operations: 1-month LIBOR plus one percentage point. Overnight deposits: overnight LIBOR minus 3/8 of one percentage point. Swap: a commission equal to a minimum annual effective cost of 5.25 percent. Reserve requirements in foreign currency subject to remuneration: 3.0 percent. The Board will approve the following Monetary Program (for the month of April) on its session to be held on April 3, 2007."
Turkiye,2007-03-15,"The Monetary Policy Committee (The Committee) has decided to keep short-term interest rates (policy rates) unchanged as follows: a) Overnight Interest Rates: Borrowing rate at 17.50 percent, and lending rate at 22.50 percent, b) Late Liquidity Window Interest Rates: Borrowing rate applied between 4:00 p.m.  4:30 p.m. at 13.50 percent, lending rate at 25.50 percent, c) The interest rate on overnight and one-week maturity borrowing facilities provided for primary dealers via repo transactions at 21.50 percent. The Committee evaluates the recent data as broadly consistent with the outlook presented in the January Inflation Report. While the slowdown in private consumption demand continues, foreign demand remains relatively strong. Aggregate demand conditions continue to support disinflation. Against this background, the disinflation trend is expected to become discernible starting from the second quarter of 2007. Nevertheless, prevailing uncertainties in the global economy, the gap between inflation expectations and the targets, and the risks related to services price inflation necessitate keeping the tight policy stance. The Committee also noted the possible effects of administered price hikes on March inflation, which was highlighted in the previous meeting. In light of these developments, the Committee assesses that meeting the medium term inflation targets requires the maintenance of the cautious policy stance. The Committee closely monitors the lagged effects of the monetary tightening since June 2006. Moreover, the potential impacts of the progress in the structural reform agenda and the developments in incomes policy as well as public sector non-interest expenditures on inflation and inflation expectations are carefully evaluated. Should any adverse developments affecting the medium-term inflation outlook presented in the January Inflation Report arise, the Central Bank will not hesitate to further tighten the monetary policy stance. A brief summary of the assessments of the Committee will be released within eight working days. The Monetary Policy Committee (The Committee) has decided to keep short-term interest rates (policy rates) unchanged as follows: a) Overnight Interest Rates: Borrowing rate at 17.50 percent, and lending rate at 22.50 percent, b) Late Liquidity Window Interest Rates: Borrowing rate applied between 4:00 p.m.  4:30 p.m. at 13.50 percent, lending rate at 25.50 percent, c) The interest rate on overnight and one-week maturity borrowing facilities provided for primary dealers via repo transactions at 21.50 percent. The Committee evaluates the recent data as broadly consistent with the outlook presented in the January Inflation Report. While the slowdown in private consumption demand continues, foreign demand remains relatively strong. Aggregate demand conditions continue to support disinflation. Against this background, the disinflation trend is expected to become discernible starting from the second quarter of 2007. Nevertheless, prevailing uncertainties in the global economy, the gap between inflation expectations and the targets, and the risks related to services price inflation necessitate keeping the tight policy stance. The Committee also noted the possible effects of administered price hikes on March inflation, which was highlighted in the previous meeting. In light of these developments, the Committee assesses that meeting the medium term inflation targets requires the maintenance of the cautious policy stance. The Committee closely monitors the lagged effects of the monetary tightening since June 2006. Moreover, the potential impacts of the progress in the structural reform agenda and the developments in incomes policy as well as public sector non-interest expenditures on inflation and inflation expectations are carefully evaluated. Should any adverse developments affecting the medium-term inflation outlook presented in the January Inflation Report arise, the Central Bank will not hesitate to further tighten the monetary policy stance. A brief summary of the assessments of the Committee will be released within eight working days."
United States,2007-03-21,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5-1/4 percent. Recent indicators have been mixed and the adjustment in the housing sector is ongoing. Nevertheless, the economy seems likely to continue to expand at a moderate pace over coming quarters. Recent readings on core inflation have been somewhat elevated. Although inflation pressures seem likely to moderate over time, the high level of resource utilization has the potential to sustain those pressures. In these circumstances, the Committee's predominant policy concern remains the risk that inflation will fail to moderate as expected. Future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information. Voting for the FOMC monetary policy action were: Ben S Bernanke. Chairman; Timothy F Geithner. Vice Chairman; Thomas M Hoenig; Donald L Kohn; Randall S Kroszner; Cathy E Minehan; Frederic S Mishkin; Michael H Moskow; William Poole; and Kevin M Warsh."
Egypt,2007-03-22,"Central Bank of Egypt Press Release March 22, 2007 The Central Bank of Egypt decided to keep its overnight deposit rate unchanged at 875 percent per annu. In its meeting held on March 22, 2007, the Monetary Policy Committee (MPC) decided to maintain the overnight deposit and overnight lending rates at 875 percent and 1075 percent, respectivel. While the risks to inflation outlook which the MPC drew attention to in previous statements continue to exist, the MPC judges that inflation maybe reaching its pea. However the annual inflation rates are expected to remain high until the base effect from the previous price increases related to the supply shocks and administered price adjustments level of. Against this background and in light of previous monetary policy actions, the MPC decided to keep the key policy rates unchange. The MPC will continue to closely monitor all economic developments, especially the factors underlying inflation, and will not hesitate to adjust the key CBE rates to ensure price stability over the medium-ter. The Central Bank of Egypt Contact person Name: Mr. Tarek Amer - Deputy Governor Telephone number: 3918270-3921012 E-mail address: tarekamer@cbeorge."
Hungary,2007-03-26,"1 At its meeting on 26 March 2007, the Monetary Council considered the latest economic and financial developments and voted to leave the central bank base rate unchanged at 8.00%. 2 In the Monetary Council's judgement, information received in the past month provides evidence that the Hungarian economy continues to grow along the central path assumed in the February issue of the Quarterly Report on Inflation, and consequently, inflation may ease back close to the 3% medium-term target in 2008 H2. However, the latest data do not appear to have reduced the risks to the central projection. There was a fall in the market component of the consumer price index, and particularly in the month-on-month rate of core inflation, which may imply that considerable price pressures have not yet emerged in the Hungarian economy over and above the one-off upward impact on prices of the Government's measures. One source of uncertainty is that, although the January growth rate of regular pay in the private sector may pose an upside risk to the outlook for inflation, the detailed 2006 GDP data reflect a gradual easing in domestic demand. Pay growth in some sectors of the economy is inconsistent with the slowdown in productivity growth and the expected decline in demand. It is still difficult to make an accurate measure of wage inflation and its likely impact, as adjustment to the changes in labour market and tax regulations may bias statistical data upwards. According to the latest data, the fall in certain components of domestic demand within the overall pattern of growth was even more marked than in the past. On the demand side, this may have a dampening effect on inflation and reduce potential upward pressure caused by higher wage inflation. However, it may lead to a fall in firms' profitability, which, in turn, may add to the risk of a pronounced decline in economic growth and employment. The fall in the risk premium on forint-denominated government bonds over the recent period may also suggest an improvement in investors' sentiment about the long-term sustainability of the fiscal adjustment measures. This may provide increased room for manoeuvre in interest rate policy in the future. Taking all these factors into account, the Monetary Council decided to leave the Bank's key interest rate unchanged."
